,Sample_name,R1_file,R2_file,Trimmed_file_F,Trimmed_file_R,Merged_file,Agg_file
35,S17_T0_Both,S17_T0_Both_S17_L001_R1_001.fastq,S17_T0_Both_S17_L001_R2_001.fastq,S17_T0_Both_R1_trim.fastq,S17_T0_Both_R2_trim.fastq,S17_T0_Both.fasta,S17_T0_Both_agg.fasta
36,S17_T1_DMSO,S17_T1_DMSO_S35_L001_R1_001.fastq,S17_T1_DMSO_S35_L001_R2_001.fastq,S17_T1_DMSO_R1_trim.fastq,S17_T1_DMSO_R2_trim.fastq,S17_T1_DMSO.fasta,S17_T1_DMSO_agg.fasta
37,S17_T1_MTX,S17_T1_MTX_S44_L001_R1_001.fastq,S17_T1_MTX_S44_L001_R2_001.fastq,S17_T1_MTX_R1_trim.fastq,S17_T1_MTX_R2_trim.fastq,S17_T1_MTX.fasta,S17_T1_MTX_agg.fasta
38,S17_T2_DMSO,S17_T2_DMSO_S62_L001_R1_001.fastq,S17_T2_DMSO_S62_L001_R2_001.fastq,S17_T2_DMSO_R1_trim.fastq,S17_T2_DMSO_R2_trim.fastq,S17_T2_DMSO.fasta,S17_T2_DMSO_agg.fasta
39,S17_T2_MTX,S17_T2_MTX_S71_L001_R1_001.fastq,S17_T2_MTX_S71_L001_R2_001.fastq,S17_T2_MTX_R1_trim.fastq,S17_T2_MTX_R2_trim.fastq,S17_T2_MTX.fasta,S17_T2_MTX_agg.fasta
40,S18_T0_Both,S18_T0_Both_S18_L001_R1_001.fastq,S18_T0_Both_S18_L001_R2_001.fastq,S18_T0_Both_R1_trim.fastq,S18_T0_Both_R2_trim.fastq,S18_T0_Both.fasta,S18_T0_Both_agg.fasta
41,S18_T1_DMSO,S18_T1_DMSO_S36_L001_R1_001.fastq,S18_T1_DMSO_S36_L001_R2_001.fastq,S18_T1_DMSO_R1_trim.fastq,S18_T1_DMSO_R2_trim.fastq,S18_T1_DMSO.fasta,S18_T1_DMSO_agg.fasta
42,S18_T1_MTX,S18_T1_MTX_S45_L001_R1_001.fastq,S18_T1_MTX_S45_L001_R2_001.fastq,S18_T1_MTX_R1_trim.fastq,S18_T1_MTX_R2_trim.fastq,S18_T1_MTX.fasta,S18_T1_MTX_agg.fasta
43,S18_T2_DMSO,S18_T2_DMSO_S63_L001_R1_001.fastq,S18_T2_DMSO_S63_L001_R2_001.fastq,S18_T2_DMSO_R1_trim.fastq,S18_T2_DMSO_R2_trim.fastq,S18_T2_DMSO.fasta,S18_T2_DMSO_agg.fasta
44,S18_T2_MTX,S18_T2_MTX_S72_L001_R1_001.fastq,S18_T2_MTX_S72_L001_R2_001.fastq,S18_T2_MTX_R1_trim.fastq,S18_T2_MTX_R2_trim.fastq,S18_T2_MTX.fasta,S18_T2_MTX_agg.fasta
45,S1_T0_Both,S1_T0_Both_S1_L001_R1_001.fastq,S1_T0_Both_S1_L001_R2_001.fastq,S1_T0_Both_R1_trim.fastq,S1_T0_Both_R2_trim.fastq,S1_T0_Both.fasta,S1_T0_Both_agg.fasta
46,S1_T1_MTX,S1_T1_MTX_S19_L001_R1_001.fastq,S1_T1_MTX_S19_L001_R2_001.fastq,S1_T1_MTX_R1_trim.fastq,S1_T1_MTX_R2_trim.fastq,S1_T1_MTX.fasta,S1_T1_MTX_agg.fasta
47,S1_T2_MTX,S1_T2_MTX_S46_L001_R1_001.fastq,S1_T2_MTX_S46_L001_R2_001.fastq,S1_T2_MTX_R1_trim.fastq,S1_T2_MTX_R2_trim.fastq,S1_T2_MTX.fasta,S1_T2_MTX_agg.fasta
48,S2_T0_Both,S2_T0_Both_S2_L001_R1_001.fastq,S2_T0_Both_S2_L001_R2_001.fastq,S2_T0_Both_R1_trim.fastq,S2_T0_Both_R2_trim.fastq,S2_T0_Both.fasta,S2_T0_Both_agg.fasta
